Date,expiryDate,Symbol,Type,CMP,strikePrice,Support,Dist_from_Support,Resistance,Dist_from_Resist,PCR,RSI,MACD,MACD_Signal,MACD_Hist,BB_HI,BB_MID,BB_LO
03-10-2025,28-10-2025,M%26M,Non-Hld,3460,3500,3327.7,3.98,3672.3,6.14,0.5,48.96,17.4,45.52,-28.12,3713.43,3554.3,3395.17
03-10-2025,28-10-2025,MANAPPURAM,Non-Hld,286.15,300,279.1,2.53,320.9,12.15,0.59,53.59,2.34,3.86,-1.52,298.01,288.09,278.18
03-10-2025,28-10-2025,MANKIND,Non-Hld,2456,2600,2385.9,2.94,2814.1,14.59,0.68,37.08,-24.9,-6.09,-18.81,2678.98,2550.7,2422.42
03-10-2025,28-10-2025,MARICO,Non-Hld,710,740,693.5,2.38,786.5,10.78,0.65,47.28,-5.77,-4,-1.77,743.49,717.12,690.75
03-10-2025,28-10-2025,MARUTI,Non-Hld,15808,17000,15820.05,-0.07,18179.95,15.01,0.54,62.5,470.3,550.79,-80.49,16527.37,15693.35,14859.33
03-10-2025,28-10-2025,MAXHEALTH,Non-Hld,1070,1200,1065.9,0.39,1334.1,24.69,0.74,26.65,-26.13,-20.65,-5.48,1206.69,1148.49,1090.28
03-10-2025,28-10-2025,MAZDOCK,Non-Hld,2886,3000,2777.15,3.92,3222.85,11.68,0.68,53.63,13.98,23.43,-9.45,3076.82,2857.47,2638.12
03-10-2025,28-10-2025,MCX,Holding,8171.5,8000,7434.9,9.91,8565.1,4.82,0.53,58.77,48.75,22.63,26.11,8207.66,7847.2,7486.74
03-10-2025,28-10-2025,MFSL,Non-Hld,1604.5,1600,1519.95,5.57,1680.05,4.71,0.75,55.15,0.7,-2.92,3.62,1621.56,1577.98,1534.4
03-10-2025,28-10-2025,MOTHERSON,Holding,106.66,115,105.05,1.54,124.95,17.15,0.46,57.22,2.19,2.6,-0.42,114.37,105.46,96.56
03-10-2025,28-10-2025,MPHASIS,Non-Hld,2737,2700,2534.2,8.01,2865.8,4.71,0.7,44.7,-38.96,-14.04,-24.91,3067.12,2828.94,2590.76
03-10-2025,28-10-2025,MUTHOOTFIN,Non-Hld,3172.8,3000,2772.5,14.44,3227.5,1.73,0.6,72.96,97.47,89.4,8.08,3171.48,2993.27,2815.06
03-10-2025,28-10-2025,NATIONALUM,Non-Hld,221.1,220,205.75,7.47,234.25,5.95,0.72,68.72,4.46,4.36,0.11,219.62,210.18,200.75
03-10-2025,28-10-2025,NAUKRI,Non-Hld,1334,1400,1307.2,2.06,1492.8,11.91,0.63,44.41,-11.35,-6.65,-4.7,1414.19,1358.61,1303.03
03-10-2025,28-10-2025,NBCC,Non-Hld,113.08,110,101.7,11.19,118.3,4.62,0.51,60.47,1.05,0.84,0.21,115.02,108.22,101.41
03-10-2025,28-10-2025,NCC,Non-Hld,210.23,210,197.45,6.48,222.55,5.87,0.79,48.9,-1.52,-1.57,0.04,217.89,209.88,201.87
03-10-2025,28-10-2025,NESTLEIND,Non-Hld,1170,1180,1137.3,2.88,1222.7,4.51,0.7,46.89,-3.97,1.15,-5.12,1233.47,1189.6,1145.73
03-10-2025,28-10-2025,NHPC,Non-Hld,87,90,84.35,3.15,95.65,9.95,0.49,59.14,1.19,1.12,0.07,91.44,84.7,77.95
03-10-2025,28-10-2025,NMDC,Non-Hld,77.17,80,75.35,2.42,84.65,9.7,0.51,61.3,1.11,1.28,-0.17,77.89,75.97,74.05
03-10-2025,28-10-2025,NTPC,Non-Hld,341.8,350,336.55,1.56,363.45,6.34,0.8,58.78,2.66,2.22,0.44,348.39,335.9,323.4
03-10-2025,28-10-2025,NUVAMA,Non-Hld,6726.5,7400,7349.85,-8.48,7450.15,10.76,0.61,60.84,-72.46,-136.45,63.99,6656.54,6346.38,6036.21
