Expiry,Symbol,PCR,CMP,Support,Dist_From_Support,Resistance,Dist_From_Resistance,Max_OI_Strike,Prev Close,Close
30-Sep-2025,MARICO,0.58,698.5,699.5,-0.14,760.5,8.88,730,703.6,698.35
30-Sep-2025,MARUTI,0.77,16307,13788.65,18.27,16211.35,-0.58,15000,16269,16286
30-Sep-2025,MAXHEALTH,0.53,1124.8,1111.3,1.22,1208.7,7.46,1160,1137.7,1123.4
30-Sep-2025,MAZDOCK,0.52,2839,2832.7999999999997,0.22,3167.2000000000003,11.57,3000,2924.2,2827.6
30-Sep-2025,MCX,0.66,7921,7827.3,1.2,8172.7,3.18,8000,8023,7920.5
30-Sep-2025,MFSL,0.47,1544.9,1542.35,0.17,1657.65,7.3,1600,1565.6,1545.6
30-Sep-2025,MOTHERSON,0.97,105.89,94.25,12.36,105.75,-0.13,100.0,105.38,105.66
30-Sep-2025,MPHASIS,0.44,2649.5,2646.9,0.1,3353.1,26.56,3000,2717.4,2642.4
30-Sep-2025,MUTHOOTFIN,0.81,3017.8,2995.15,0.76,3204.85,6.2,3100,3051.6,3020.3
30-Sep-2025,NATIONALUM,0.75,200.43,199.4,0.52,220.6,10.07,210,205.61,200.58
30-Sep-2025,NAUKRI,0.34,1321.2,1312.2,0.69,1567.8,18.67,1440,1358.6,1316.2
30-Sep-2025,NBCC,0.5,105.4,110.95,-5.0,129.05,22.44,120.0,109.19,105.18
30-Sep-2025,NCC,0.44,202.5,202.0,0.25,238.0,17.54,220,206.29,202.51
30-Sep-2025,NESTLEIND,0.38,1162,1164.25,-0.19,1235.75,6.35,1200,1173.5,1162.6
30-Sep-2025,NHPC,0.52,83.7,84.55,-1.0,95.45,14.04,90,86.43,83.64
30-Sep-2025,NMDC,0.97,75.05,73.7,1.84,76.3,1.67,75,76.38,74.99
30-Sep-2025,NTPC,0.54,338.2,336.75,0.44,343.25,1.5,340,340.5,337.9
30-Sep-2025,NUVAMA,0.47,6120,6063.4,0.94,6936.6,13.35,6500,6032.5,6115
30-Sep-2025,NYKAA,0.51,231.63,230.75,0.39,269.25,16.25,250.0,236.46,230.62
30-Sep-2025,OBEROIRLTY,0.45,1585.8,1603.8,-1.12,1796.2,13.27,1700,1599.9,1577.7
30-Sep-2025,OFSS,0.34,8545,8526.95,0.22,10873.05,27.25,9700,8909,8515
30-Sep-2025,OIL,0.35,409.2,406.9,0.57,433.1,5.85,420,414.8,410.25
30-Sep-2025,ONGC,0.38,238.15,237.14999999999998,0.43,242.85000000000002,1.98,240,239.67,238.02
30-Sep-2025,PAGEIND,0.23,41200,41388.0,-0.45,48612.0,18.0,45000,42625,41240
30-Sep-2025,PATANJALI,0.44,590.8,584.7,1.05,615.3,4.15,600.0,600,589
30-Sep-2025,PAYTM,0.53,1124.8,1125.1,-0.02,1394.9,24.02,1260,1141.4,1125.2
