Date,expiryDate,Symbol,Type,CMP,CMP_chg,CMP_pct_chg,CMP_trend,strikePrice,strikePrice_trend,Support,Support_chg,Support_pct_chg,Support_trend,Dist_from_Support,Dist_from_Support_trend,Resistance,Resistance_chg,Resistance_pct_chg,Resistance_trend,Dist_from_Resist,Dist_from_Resist_trend,PCR,PCR_trend,RSI,RSI_trend,MACD,MACD_trend,MACD_Signal,MACD_Signal_trend,MACD_Hist,MACD_Hist_trend,BB_HI,BB_HI_chg,BB_HI_pct_chg,BB_HI_trend,BB_MID,BB_MID_chg,BB_MID_pct_chg,BB_MID_trend,BB_LO,Sentiment,Call_B,Call_S,Puts_W,Puts_L,Call_W,Call_L,Puts_B,Puts_S,Tot_Strikes,BB-FnO
03-10-2025,28-Oct-25,BANKINDIA,Non-Hld,125.41,,,unchanged,125,unchanged,117.5,,,unchanged,6.74,unchanged,132.5,,,unchanged,5.66,unchanged,0.61,unchanged,68.37,unchanged,2.31,unchanged,1.76,unchanged,0.55,unchanged,125.79,,,unchanged,118.87,,,unchanged,111.96,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,BDL,Non-Hld,1560,,,unchanged,1600,unchanged,1489.3,,,unchanged,4.75,unchanged,1710.7,,,unchanged,9.67,unchanged,0.8,unchanged,52.04,unchanged,-2.71,unchanged,-1.47,unchanged,-1.24,unchanged,1673.54,,,unchanged,1543.07,,,unchanged,1412.6,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,BEL,Holding,412.7,,,unchanged,410,unchanged,388.6,,,unchanged,6.21,unchanged,431.4,,,unchanged,4.54,unchanged,0.75,unchanged,63.48,unchanged,6.01,unchanged,5.28,unchanged,0.73,unchanged,423.16,,,unchanged,397.4,,,unchanged,371.63,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,BHARATFORG,Non-Hld,1222,,,unchanged,1220,unchanged,1152.85,,,unchanged,6,unchanged,1287.15,,,unchanged,5.34,unchanged,0.91,unchanged,53.16,unchanged,9.35,unchanged,12.9,unchanged,-3.55,unchanged,1289.55,,,unchanged,1221.84,,,unchanged,1154.14,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,BHARTIARTL,Non-Hld,1896.9,,,unchanged,1900,unchanged,1835.9,,,unchanged,3.33,unchanged,1964.1,,,unchanged,3.55,unchanged,0.77,unchanged,46.13,unchanged,-3.07,unchanged,3.04,unchanged,-6.12,unchanged,1967.05,,,unchanged,1914.78,,,unchanged,1862.51,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,BHEL,Non-Hld,244.8,,,unchanged,240,unchanged,224.6,,,unchanged,9,unchanged,255.4,,,unchanged,4.34,unchanged,0.59,unchanged,67.27,unchanged,4.07,unchanged,2.73,unchanged,1.35,unchanged,248.85,,,unchanged,231.34,,,unchanged,213.83,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,BIOCON,Non-Hld,351.6,,,unchanged,350,unchanged,332.05,,,unchanged,5.89,unchanged,367.95,,,unchanged,4.66,unchanged,0.78,unchanged,46.47,unchanged,-4.43,unchanged,-3.19,unchanged,-1.23,unchanged,375.75,,,unchanged,357.58,,,unchanged,339.4,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,BLUESTARCO,Non-Hld,1899,,,unchanged,2000,unchanged,1853.55,,,unchanged,2.46,unchanged,2146.45,,,unchanged,13.04,unchanged,0.82,unchanged,49.35,unchanged,6.39,unchanged,17.11,unchanged,-10.72,unchanged,1986.67,,,unchanged,1916.52,,,unchanged,1846.36,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,BOSCHLTD,Non-Hld,38555,,,unchanged,40000,unchanged,38064.2,,,unchanged,1.29,unchanged,41935.8,,,unchanged,8.77,unchanged,0.76,unchanged,43.1,unchanged,-336.21,unchanged,-120.45,unchanged,-215.76,unchanged,41700.59,,,unchanged,39597.75,,,unchanged,37494.91,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,BPCL,Non-Hld,342,,,unchanged,350,unchanged,331.35,,,unchanged,3.22,unchanged,368.65,,,unchanged,7.8,unchanged,0.85,unchanged,68.6,unchanged,5.26,unchanged,3.23,unchanged,2.03,unchanged,343.22,,,unchanged,325.64,,,unchanged,308.06,,,,,,,,,,,Moderate Uptrend (Sup Near BB_MID to BB_HI)
