Date,expiryDate,Symbol,Type,CMP,strikePrice,Support,Dist_from_Support,Resistance,Dist_from_Resist,PCR,RSI,MACD,MACD_Signal,MACD_Hist,BB_HI,BB_MID,BB_LO,Sentiment,Call_B,Call_S,Puts_W,Puts_L,Call_W,Call_L,Puts_B,Puts_S,Tot_Strikes
03-Oct-25,28-Oct-25,GAIL,Non-Hld,177.6,180,171.1,3.8,188.9,6.37,0.93,50.87,-0.27,0.02,-0.29,183.74,177.19,170.64,,,,,,,,,,
03-Oct-25,28-Oct-25,GLENMARK,Non-Hld,1977,2200,1980.7,-0.18,2419.3,22.38,0.79,44.84,-13.6,-0.71,-12.89,2161.52,2043.26,1924.99,,,,,,,,,,
03-Oct-25,28-Oct-25,GMRAIRPORT,Non-Hld,89.12,90,85.4,4.36,94.6,6.15,0.68,51.24,-0.07,0.07,-0.13,93.22,88.98,84.74,,,,,,,,,,
03-Oct-25,28-Oct-25,GODREJCP,Non-Hld,1148,1200,1124.5,2.09,1275.5,11.11,0.75,31.91,-21.93,-12.65,-9.28,1289.83,1214.6,1139.37,,,,,,,,,,
03-Oct-25,28-Oct-25,GODREJPROP,Non-Hld,2036.9,2000,1870,8.93,2130,4.58,0.62,50.32,-9.02,-8.52,-0.5,2135.18,2022.46,1909.75,,,,,,,,,,
03-Oct-25,28-Oct-25,GRASIM,Non-Hld,2799.3,2900,2759.9,1.43,3040.1,8.61,0.83,48.81,-4.63,2.74,-7.37,2883.26,2807.18,2731.1,,,,,,,,,,
03-Oct-25,28-Oct-25,HAL,Non-Hld,4871,5000,4721.05,3.18,5278.95,8.38,0.54,64.05,67.95,65.93,2.02,5023.43,4724.46,4425.49,,,,,,,,,,
03-Oct-25,28-Oct-25,HAVELLS,Non-Hld,1490,1600,1479.85,0.69,1720.15,15.45,0.64,32.31,-15.01,-2.33,-12.68,1637.82,1559.27,1480.72,,,,,,,,,,
03-Oct-25,28-Oct-25,HCLTECH,Non-Hld,1392.8,1400,1327.05,4.96,1472.95,5.76,0.61,35.76,-23.22,-17.88,-5.33,1494.52,1424.96,1355.41,,,,,,,,,,
03-Oct-25,28-Oct-25,HDFCAMC,Non-Hld,5595,5500,5195.7,7.69,5804.3,3.75,0.6,43.84,-10.35,25.75,-36.1,5944.12,5727.62,5511.13,,,,,,,,,,
03-Oct-25,28-Oct-25,HDFCBANK,Non-Hld,963.7,1000,956.15,0.79,1043.85,8.32,0.8,50.78,-4.82,-5.85,1.03,977.95,961.94,945.93,,,,,,,,,,
03-Oct-25,28-Oct-25,HDFCLIFE,Non-Hld,760,800,750.9,1.22,849.1,11.73,0.78,43.39,-3.13,-1.13,-2,789.39,769.56,749.72,,,,,,,,,,
03-Oct-25,28-Oct-25,HEROMOTOCO,Non-Hld,5545.5,5400,5085.15,9.06,5714.85,3.06,0.82,67.89,110.89,122.11,-11.22,5509.64,5371.58,5233.51,,,,,,,,,,
03-Oct-25,28-Oct-25,HFCL,Non-Hld,75.9,80,73.05,3.91,86.95,14.56,0.54,54.83,0.27,0.19,0.08,78.51,73.74,68.98,,,,,,,,,,
03-Oct-25,28-Oct-25,HINDALCO,Non-Hld,780,800,760.5,2.57,839.5,7.63,0.57,74.37,12.94,12.08,0.86,770.22,750.33,730.45,,,,,,,,,,
03-Oct-25,28-Oct-25,HINDPETRO,Non-Hld,445.2,440,411.7,8.14,468.3,5.19,0.86,73.32,11.88,8.05,3.84,449.75,412.96,376.16,,,,,,,,,,
03-Oct-25,28-Oct-25,HINDUNILVR,Non-Hld,2539,2600,2502,1.48,2698,6.27,0.64,46.79,-16.45,-9.23,-7.22,2657.84,2570.54,2483.23,,,,,,,,,,
03-Oct-25,28-Oct-25,HINDZINC,Non-Hld,492.3,500,466.65,5.5,533.35,8.34,0.45,67.71,11.17,8.2,2.98,488.59,457.6,426.6,,,,,,,,,,
03-Oct-25,28-Oct-25,HUDCO,Non-Hld,233.67,230,214.55,8.92,245.45,5.05,0.61,61.7,3.76,3.47,0.29,239.02,224.36,209.7,,,,,,,,,,
03-Oct-25,28-Oct-25,ICICIBANK,Non-Hld,1365,1400,1346.6,1.37,1453.4,6.48,0.89,36.69,-15.65,-12.12,-3.53,1440.22,1393.18,1346.15,,,,,,,,,,
03-Oct-25,28-Oct-25,ICICIGI,Non-Hld,1910.6,1900,1803.7,5.93,1996.3,4.49,0.71,55.7,3.34,-1.6,4.94,1921.29,1874.32,1827.34,,,,,,,,,,
03-Oct-25,28-Oct-25,ICICIPRULI,Non-Hld,602,620,584.3,3.03,655.7,8.93,1.11,48.57,-4.78,-5.41,0.63,609.76,598.78,587.8,,,,,,,,,,
03-Oct-25,28-Oct-25,IDEA,Non-Hld,8.84,10,8.2,7.81,11.8,33.49,0.74,65.69,0.4,0.37,0.03,9.05,8.02,6.99,,,,,,,,,,
03-Oct-25,28-Oct-25,IDFCFIRSTB,Non-Hld,69.15,70,66.15,4.54,73.85,6.8,0.88,40.39,-0.46,-0.17,-0.29,73.87,71.08,68.29,,,,,,,,,,
03-Oct-25,28-Oct-25,IEX,Holding,143.69,150,139.75,2.82,160.25,11.53,0.51,49.23,-1.57,-1.58,0.02,150.23,143.62,137.01,,,,,,,,,,
03-Oct-25,28-Oct-25,IGL,Non-Hld,209.5,210,198.35,5.63,221.65,5.8,0.59,49.25,-0.48,0.06,-0.55,217.97,210.59,203.22,,,,,,,,,,
03-Oct-25,28-Oct-25,IIFL,Non-Hld,458,470,437.7,4.64,502.3,9.68,0.67,55.09,-1.13,-3.39,2.27,460.98,443.76,426.53,,,,,,,,,,
03-Oct-25,28-Oct-25,INDHOTEL,Non-Hld,725,800,724.25,0.11,875.75,20.8,0.8,35.26,-12.78,-7.13,-5.65,809.2,758.2,707.21,,,,,,,,,,
03-Oct-25,28-Oct-25,INDIANB,Non-Hld,767.4,750,707.3,8.5,792.7,3.3,0.42,75.04,20.32,15.35,4.96,753.51,704.58,655.64,,,,,,,,,,
03-Oct-25,28-Oct-25,INDIGO,Holding,5652,5800,5554.85,1.75,6045.15,6.96,0.81,46.24,-44.15,-42.14,-2.01,5783.05,5679,5574.95,,,,,,,,,,
03-Oct-25,28-Oct-25,INDUSINDBK,Non-Hld,748,800,739.25,1.19,860.75,15.08,0.56,49.42,-8.74,-11.22,2.48,761.53,741.43,721.34,,,,,,,,,,
