Date,expiryDate,Symbol,Type,CMP,CMP_chg,CMP_pct_chg,CMP_trend,strikePrice,strikePrice_trend,Support,Support_chg,Support_pct_chg,Support_trend,Dist_from_Support,Dist_from_Support_trend,Resistance,Resistance_chg,Resistance_pct_chg,Resistance_trend,Dist_from_Resist,Dist_from_Resist_trend,PCR,PCR_trend,RSI,RSI_trend,MACD,MACD_trend,MACD_Signal,MACD_Signal_trend,MACD_Hist,MACD_Hist_trend,BB_HI,BB_HI_chg,BB_HI_pct_chg,BB_HI_trend,BB_MID,BB_MID_chg,BB_MID_pct_chg,BB_MID_trend,BB_LO,Dist_from_BB_HI,Dist_from_BB_LO,Sentiment,Call_B,Call_S,Puts_W,Puts_L,Call_W,Call_L,Puts_B,Puts_S,Tot_Strikes,BB-FnO
13-Nov-25,25-Nov-25,360ONE,Non-Hld,1085.0,4.0,0.37,up,1200.0,unchanged,1088.1,15.5,1.45,up,-0.28,down,1311.9,-15.5,-1.17,down,20.91,down,0.36,down,46.28,up,-5.01,down,2.92,down,-7.93,up,1211.44,0.17,0.01,up,1123.84,-2.11,-0.19,down,1036.23,11.65,4.71,1 - Very Bearish,0.0,0.0,4.0,4.0,4.0,8.0,1.0,1.0,20.0,Neutral (BB_MID Between Res-Sup)
13-Oct-25,28-Oct-25,360ONE,Non-Hld,1100.0,13.0,1.2,up,1100.0,down,1042.6,-44.45,-4.09,down,5.51,up,1157.4,-155.55,-11.85,down,5.22,down,0.55,up,61.72,up,6.66,up,-1.23,down,7.89,up,1124.3,-87.16,-7.19,down,1060.64,-64.96,-5.77,down,996.98,2.21,10.33,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
14-Nov-25,25-Nov-25,360ONE,Non-Hld,1064.9,-20.1,-1.85,down,1200.0,unchanged,1072.2,-15.9,-1.46,down,-0.68,down,1327.8,15.9,1.21,up,24.69,up,0.39,up,41.18,down,-6.84,down,0.97,down,-7.8,up,1209.32,-2.12,-0.17,down,1119.38,-4.46,-0.4,down,1029.43,13.56,3.45,3 - Mild Bearish,0.0,0.0,2.0,0.0,8.0,6.0,3.0,3.0,20.0,Neutral (BB_MID Between Res-Sup)
14-Oct-25,28-Oct-25,360ONE,Non-Hld,1122.0,22.0,2.0,up,1100.0,unchanged,1038.4,-4.2,-0.4,down,8.06,up,1161.6,4.2,0.36,up,3.53,down,0.5,down,66.84,up,10.72,up,1.16,up,9.55,up,1132.56,8.26,0.73,up,1063.03,2.39,0.23,up,993.49,0.94,12.94,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
15-Oct-25,28-Oct-25,360ONE,Non-Hld,1161.0,96.1,9.02,up,1100.0,down,1021.2,-51.0,-4.76,down,13.69,up,1178.8,-149.0,-11.22,down,1.54,down,0.6,up,72.19,up,16.46,up,4.22,up,12.24,up,1147.27,-62.05,-5.13,down,1066.49,-52.89,-4.72,down,985.71,-1.18,17.78,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
16-Oct-25,28-Oct-25,360ONE,Non-Hld,1169.7,47.7,4.25,up,1100.0,unchanged,1014.55,-23.85,-2.3,down,15.3,up,1185.45,23.85,2.05,up,1.35,down,0.59,up,73.73,up,21.68,up,7.71,up,13.96,up,1161.75,29.19,2.58,up,1069.93,6.9,0.65,up,978.11,-0.68,19.59,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
17-Nov-25,25-Nov-25,360ONE,Non-Hld,1073.8,-87.2,-7.51,down,1100.0,unchanged,1058.15,36.95,3.62,up,1.48,down,1141.85,-36.95,-3.13,down,6.34,up,0.41,down,43.31,down,-7.68,down,-0.76,down,-6.92,down,1204.24,56.97,4.97,up,1114.68,48.19,4.52,up,1025.11,12.15,4.75,6 - Very Bullish,4.0,3.0,7.0,5.0,2.0,4.0,0.0,0.0,20.0,Consolidation (Res-Sup Inside BB Range)
17-Oct-25,28-Oct-25,360ONE,Non-Hld,1167.0,-2.7,-0.23,down,1200.0,up,1139.4,124.85,12.31,up,2.43,down,1260.6,75.15,6.34,up,8.03,up,0.58,down,71.16,down,24.97,up,11.16,up,13.81,down,1173.01,11.26,0.97,up,1073.07,3.14,0.29,up,973.13,0.51,19.92,,,,,,,,,,,Moderate Uptrend (Sup Near BB_MID to BB_HI)
18-Nov-25,25-Nov-25,360ONE,Non-Hld,1075.0,1.2,0.11,up,1200.0,up,1075.1,16.95,1.6,up,-0.01,down,1324.9,183.05,16.03,up,23.25,up,0.43,up,45.37,up,-7.75,down,-2.16,down,-5.59,up,1199.13,-5.11,-0.42,down,1110.62,-4.06,-0.36,down,1022.12,11.55,5.17,6 - Very Bullish,4.0,1.0,8.0,4.0,5.0,3.0,0.0,0.0,20.0,Neutral (BB_MID Between Res-Sup)
19-Nov-25,25-Nov-25,360ONE,Non-Hld,1119.1,-47.9,-4.1,down,1140.0,down,1105.3,-34.1,-2.99,down,1.25,down,1174.7,-85.9,-6.81,down,4.97,down,0.44,down,56.66,down,-4.44,down,-2.62,down,-1.82,down,1190.93,17.92,1.53,up,1107.72,34.65,3.23,up,1024.51,6.42,9.23,4 - Mild Bullish,5.0,10.0,7.0,6.0,0.0,0.0,0.0,0.0,20.0,Consolidation (Res-Sup Inside BB Range)
